
1)
city_name         | state_name | airport |                   unique_carrier_name                   |   sum
 Albuquerque, NM              | Albuquerque, NM    | Alamosa, CO               | Boutique Air                                            |   1300
 Albuquerque, NM              | Albuquerque, NM    | Denver, CO                | GoJet Airlines LLC d/b/a United Express                 |    560
 Albuquerque, NM              | Albuquerque, NM    | Denver, CO                | Republic Airlines                                       |   3375
 Albuquerque, NM              | Albuquerque, NM    | Denver, CO                | SkyWest Airlines Inc.                                   |   3010
 Albuquerque, NM              | Albuquerque, NM    | Denver, CO                | Southwest Airlines Co.                                  |  25022
 Albuquerque, NM              | Albuquerque, NM    | Denver, CO                | Trans States Airlines                                   |      0
 Albuquerque, NM              | Albuquerque, NM    | Denver, CO                | United Air Lines Inc.                                   |   5100
 Albuquerque, NM              | Albuquerque, NM    | Durango, CO               | Empire Airlines Inc.                                    |   1469
 Albuquerque, NM              | Albuquerque, NM    | Durango, CO               | Federal Express Corporation                             |   3960
 Alliance, NE                 | Scottsbluff, NE    | Denver, CO                | Boutique Air                                            |   2600
 Amarillo, TX                 | Dallas, TX         | Denver, CO                | SkyWest Airlines Inc.                                   |    210
 Amarillo, TX                 | Dallas, TX         | Denver, CO                | Trans States Airlines                                   |   3710
 Anchorage, AK                | Anchorage, AK      | Denver, CO                | United Air Lines Inc.                                   |   7000
 Atlanta, GA                  | Atlanta, GA        | Colorado Springs, CO      | Delta Air Lines Inc.                                    |   5809
 Atlanta, GA                  | Atlanta, GA        | Denver, CO                | Ameristar Air Cargo                                     |      0
 Atlanta, GA                  | Atlanta, GA        | Denver, CO                | Delta Air Lines Inc.                                    |  28352
 Atlanta, GA                  | Atlanta, GA        | Denver, CO                | Frontier Airlines Inc.                                  |   6463
 Atlanta, GA                  | Atlanta, GA        | Denver, CO                | GoJet Airlines LLC d/b/a United Express                 |      0
 Atlanta, GA                  | Atlanta, GA        | Denver, CO                | Republic Airlines                                       |   1193
 Atlanta, GA                  | Atlanta, GA        | Denver, CO                | SkyWest Airlines Inc.                                   |   1570
 Atlanta, GA                  | Atlanta, GA        | Denver, CO                | Southwest Airlines Co.                                  |  44668
 Atlanta, GA                  | Atlanta, GA        | Denver, CO                | United Air Lines Inc.                                   |   8754
 Austin, TX                   | Dallas, TX         | Denver, CO                | Frontier Airlines Inc.                                  |   2099
 Austin, TX                   | Dallas, TX         | Denver, CO                | GoJet Airlines LLC d/b/a United Express                 |   5906
 Austin, TX                   | Dallas, TX         | Denver, CO                | Jet Aviation Flight Services, Inc.                      |      8
 Austin, TX                   | Dallas, TX         | Denver, CO                | Republic Airlines                                       |   4200
 Austin, TX                   | Dallas, TX         | Denver, CO                | SkyWest Airlines Inc.                                   |   2030
 Austin, TX                   | Dallas, TX         | Denver, CO                | Southwest Airlines Co.                                  |  26316
 Austin, TX                   | Dallas, TX         | Denver, CO                | United Air Lines Inc.                                   |   7420
 Bakersfield, CA              | Long Beach, CA     | Denver, CO                | SkyWest Airlines Inc.                                   |   3920
 Baltimore, MD                | Baltimore, MD      | Colorado Springs, CO      | SkyWest Airlines Inc.                                   |     76
 Baltimore, MD                | Baltimore, MD      | Denver, CO                | Frontier Airlines Inc.                                  |  19496
 Baltimore, MD                | Baltimore, MD      | Denver, CO                | Southwest Airlines Co.                                  |  68262
 Baltimore, MD                | Baltimore, MD      | Denver, CO                | United Air Lines Inc.                                   |  63208
 Bend/Redmond, OR             | Medford, OR        | Denver, CO                | SkyWest Airlines Inc.                                   |   2756
 Billings, MT                 | Missoula, MT       | Denver, CO                | SkyWest Airlines Inc.                                   |   6147
 Billings, MT                 | Missoula, MT       | Denver, CO                | Trans States Airlines                                   |    540
 Billings, MT                 | Missoula, MT       | Denver, CO                | United Air Lines Inc.                                   |   8364
 Billings, MT                 | Missoula, MT       | Denver, CO                | United Parcel Service                                   |    900
 Birmingham, AL               | Gadsden, AL        | Denver, CO                | Republic Airlines                                       |   4375
 Birmingham, AL               | Gadsden, AL        | Denver, CO                | SkyWest Airlines Inc.                                   |   1960
 Bismarck/Mandan, ND          | Dickinson, ND      | Denver, CO                | Frontier Airlines Inc.                                  |   1540
 Bismarck/Mandan, ND          | Dickinson, ND      | Denver, CO                | SkyWest Airlines Inc.                                   |   1850
 Bismarck/Mandan, ND          | Dickinson, ND      | Denver, CO                | Trans States Airlines                                   |   3600
 Boise, ID                    | Boise, ID          | Denver, CO                | SkyWest Airlines Inc.                                   |   6392
 Boise, ID                    | Boise, ID          | Denver, CO                | Southwest Airlines Co.                                  |  18144
 Boise, ID                    | Boise, ID          | Denver, CO                | United Air Lines Inc.                                   |   8502
 Boston, MA                   | Boston, MA         | Denver, CO                | JetBlue Airways                                         |   2850
 Boston, MA                   | Boston, MA         | Denver, CO                | Southwest Airlines Co.                                  |  18130
 Boston, MA                   | Boston, MA         | Denver, CO                | United Air Lines Inc.                                   |  16636
 Bozeman, MT                  | Missoula, MT       | Denver, CO                | Frontier Airlines Inc.                                  |   1950
