AIRLINE_ID,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DISTANCE,RAMP_TO_RAMP,AIR_TIME,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
20225,11468,11292,305,5338,4462,0,56,425600,1680,600,0,0,2017,2,6,1,F
20225,12899,11292,228,3700,2947,0,48,364800,1440,422,0,0,2017,2,6,1,F
20225,12902,10325,274,100,87,0,1,7600,30,5,0,0,2017,2,6,1,F
20225,12902,11292,280,1830,1524,0,21,159600,630,153,0,0,2017,2,6,1,F
20358,11292,14081,420,117,103,0,1,4500,19,5,0,0,2017,2,6,1,F
20358,14288,11711,231,79,60,0,1,4500,19,5,0,0,2017,2,6,1,F
21599,11292,11292,0,100,84,0,1,1600,8,6,0,0,2017,2,6,1,F
20354,10558,11292,150,60,45,1,1,10808,50,20,0,0,2017,2,6,1,F
20354,11292,10409,519,86,67,1,1,10841,50,40,0,0,2017,2,6,2,F
20354,11292,12389,576,106,81,1,1,10808,50,34,0,0,2017,2,6,2,F
20354,12389,11292,576,298,260,1,3,34308,150,121,0,0,2017,2,6,2,F
20368,11921,12889,420,78,60,1,1,101000,156,113,0,0,2017,2,6,1,F
20368,12889,11921,420,84,60,1,1,101000,156,151,0,0,2017,2,6,1,F
19805,11109,11292,73,42,20,1,1,40400,160,150,450,266,2017,2,6,1,F
19805,11109,11298,592,97,78,1,1,39900,160,133,0,0,2017,2,6,2,F
19805,11109,12278,403,117,85,1,1,39400,140,124,0,0,2017,2,6,1,F
19805,11292,10721,1754,255,207,1,1,50200,181,168,428,0,2017,2,6,4,F
19805,11292,12892,862,144,115,1,1,48100,181,74,0,0,2017,2,6,2,F
19805,11292,12992,771,150,106,1,1,39900,160,150,550,0,2017,2,6,2,F
19805,13204,11292,1546,255,196,1,1,50200,181,154,0,54,2017,2,6,4,F
19805,13930,11109,911,157,138,1,1,40400,160,150,450,266,2017,2,6,2,F
19805,14492,11292,1436,219,201,1,1,40400,160,142,0,521,2017,2,6,3,F
19805,14771,11292,967,159,140,1,1,51700,187,150,0,460,2017,2,6,2,F
19805,14869,11109,411,87,71,1,1,39900,160,133,0,0,2017,2,6,1,F
19790,11292,12892,862,166,136,1,1,29900,110,101,0,0,2017,2,6,2,F
19790,11292,13487,680,126,86,1,1,29900,110,110,0,0,2017,2,6,2,F
19790,11292,13487,680,219,176,1,2,77758,320,281,0,0,2017,2,6,2,F
19790,11292,14869,391,78,60,1,1,40870,160,155,0,0,2017,2,6,1,F
19790,11433,11292,1123,176,154,1,1,41370,160,154,6,0,2017,2,6,3,F
19790,13487,11292,680,131,103,1,1,29900,110,106,53,0,2017,2,6,2,F
19790,13487,11292,680,112,95,1,1,38879,160,160,21,0,2017,2,6,2,F
20500,11292,15370,541,110,74,1,1,17610,70,70,0,0,2017,2,6,2,F
20500,11986,11292,1015,153,132,1,1,17610,70,55,0,0,2017,2,6,3,F
20304,11097,11292,391,91,61,1,1,13500,50,35,0,0,2017,2,6,1,F
20304,11109,12992,746,143,97,1,1,13500,50,0,0,0,2017,2,6,2,F
20304,11109,13486,734,137,100,1,1,13500,50,0,0,0,2017,2,6,2,F
20304,11109,15376,580,104,85,1,1,13500,50,46,0,0,2017,2,6,2,F
20304,11122,11292,230,56,41,1,1,13500,50,48,0,0,2017,2,6,1,F
20304,11278,11109,1487,218,191,1,1,15200,76,0,0,0,2017,2,6,3,F
20304,11292,10140,349,78,52,1,1,18740,70,70,0,0,2017,2,6,1,F
20304,11292,10397,1199,210,183,1,1,18740,70,62,0,0,2017,2,6,3,F
20304,11292,10423,775,151,129,1,1,15200,76,69,0,0,2017,2,6,2,F
20304,11292,11003,692,109,89,1,1,15200,76,58,0,0,2017,2,6,2,F
20304,11292,11097,391,89,64,1,1,13500,50,45,0,0,2017,2,6,1,F
20304,11292,11122,230,64,37,1,1,13500,50,43,0,0,2017,2,6,1,F
20304,11292,11298,641,122,91,1,1,18740,70,67,0,0,2017,2,6,2,F
20304,11292,11986,1015,169,137,1,1,15200,76,69,0,0,2017,2,6,3,F
20304,11292,12266,862,133,118,1,1,15200,76,0,0,0,2017,2,6,2,F
20304,11292,12441,406,134,64,1,1,18740,70,69,0,0,2017,2,6,1,F
20304,11292,12992,771,125,98,1,1,18740,70,48,0,0,2017,2,6,2,F
20304,11292,13264,964,148,127,1,1,18740,70,63,0,0,2017,2,6,2,F
20304,11292,13871,472,81,61,1,1,18740,70,63,0,0,2017,2,6,1,F
20304,11292,13930,888,139,114,1,1,15200,76,65,0,0,2017,2,6,2,F
20304,11292,14489,898,158,133,1,1,13500,50,40,0,0,2017,2,6,2,F
20304,11292,14679,853,135,112,1,1,15200,76,76,0,0,2017,2,6,2,F
20304,11292,14730,1024,162,130,1,1,13500,50,50,0,0,2017,2,6,3,F
20304,11292,14771,967,180,147,1,1,13500,50,0,0,0,2017,2,6,2,F
20304,11292,14771,967,233,134,1,1,18740,70,0,0,0,2017,2,6,2,F
20304,11292,14908,846,145,110,1,1,18740,70,68,0,0,2017,2,6,2,F
20304,11292,15041,557,106,86,1,1,15200,76,73,0,0,2017,2,6,2,F
20304,11298,11109,592,131,86,1,1,15200,76,0,0,0,2017,2,6,2,F
20304,11921,12892,655,109,84,1,1,18740,70,0,0,0,2017,2,6,2,F
20304,12266,11292,862,160,122,1,1,13500,50,0,0,0,2017,2,6,2,F
20304,12441,11292,406,89,57,1,1,18740,70,34,0,0,2017,2,6,1,F
20304,12888,11292,113,74,51,1,1,15200,76,53,0,0,2017,2,6,1,F
20304,12892,11292,862,139,113,1,1,18740,70,0,0,0,2017,2,6,2,F
20304,12992,11292,771,129,110,1,1,15200,76,62,0,0,2017,2,6,2,F
20304,13264,11292,964,141,122,1,1,18740,70,16,0,0,2017,2,6,2,F
20304,13486,11109,734,123,93,1,1,13500,50,0,0,0,2017,2,6,2,F
20304,13930,11292,888,200,134,1,1,15200,76,0,0,0,2017,2,6,2,F
20304,14057,11292,991,148,131,1,1,15200,76,76,0,0,2017,2,6,2,F
20304,14252,11921,730,129,111,1,1,13500,50,41,0,0,2017,2,6,2,F
20304,14679,11292,853,153,122,1,1,18740,70,69,0,0,2017,2,6,2,F
20304,14683,11292,794,136,107,1,1,15200,76,65,0,0,2017,2,6,2,F
20304,14794,11109,496,178,105,1,1,13500,50,45,0,0,2017,2,6,1,F
20304,14893,11292,909,141,118,1,1,18740,70,68,0,0,2017,2,6,2,F
20304,14908,11292,846,129,114,1,1,18740,70,67,0,0,2017,2,6,2,F
19977,10140,11292,349,66,48,1,1,32640,150,140,1,0,2017,2,6,1,F
19977,10529,11292,1671,240,218,1,1,41971,166,151,0,1040,2017,2,6,4,F
19977,10721,11292,1754,258,235,1,1,31999,128,127,0,1858,2017,2,6,4,F
